"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","499333679",9.69272588839281,-0.368337080308641,0.128500420203618,-2.86642704922665,0.00415133824754199,0.99999783365053
"2","499351269",0.653205766368323,-0.477549466075886,0.175868350684229,-2.71538036387982,0.00661996898610901,0.99999783365053
"3","499312199",0.508637015724519,-0.571106904393979,0.215597226797864,-2.64895292428519,0.00807415776448577,0.99999783365053
"4","499344427",1.90729722043475,-0.426810256730215,0.163055626795087,-2.61757453648987,0.008855714527086,0.99999783365053
"5","499335819",16.7290764058806,-0.159714778122635,0.0614475076540267,-2.59920677372126,0.00934394701766812,0.99999783365053
"6","499348476",0.723462874880204,0.310515516105107,0.120314541217461,2.58086439895799,0.00985532843202334,0.99999783365053
"7","499308465",0.517467010188515,0.45730414754965,0.177630844334919,2.57446362573953,0.0100395642358784,0.99999783365053
"8","499332270",0.458758512171644,-0.376229158385344,0.148534722402813,-2.53293743240078,0.0113111140629367,0.99999783365053
"9","499331590",15.931382645222,-0.282497283037969,0.112119791368103,-2.51960228957702,0.0117487498229052,0.99999783365053
"10","499333680",2.50371394920855,-0.418722207828376,0.168137932541047,-2.49034945000381,0.0127617549680291,0.99999783365053
"11","499323093",12.1717940664863,-0.111155022965187,0.0448218117350018,-2.4799315034913,0.0131407623503858,0.99999783365053
"12","499308641",1.36647549422272,-0.293048040523016,0.11830834403591,-2.47698539702379,0.0132497322940983,0.99999783365053
"13","499312198",69.0890714582116,-0.0985996136996541,0.0408999461188137,-2.41075167711037,0.0159196833951143,0.99999783365053
"14","499307117",1.00160001337766,-0.276326970347958,0.116110391847741,-2.37986424772653,0.0173190169907819,0.99999783365053
"15","499344314",363.270739553412,-0.0468416590034704,0.019765153843227,-2.3699111767613,0.0177923590985181,0.99999783365053
"16","499321174",241.479272028432,-0.4086617017969,0.173130734902373,-2.36042261373951,0.0182541264147726,0.99999783365053
"17","499310332",6.20155933317674,-0.106157948696876,0.0450555658585495,-2.35615615238648,0.0184651537634336,0.99999783365053
"18","499340698",18.7948451529422,-0.058269669360857,0.0248506630428222,-2.34479334657783,0.0190376280767573,0.99999783365053
"19","499307830",13.3892029281172,-0.441244694426617,0.188427934835387,-2.34171591814182,0.0191953193078268,0.99999783365053
"20","499347059",1.72164274325765,-0.204453330546958,0.0874970817340053,-2.3366874242561,0.0194554429127166,0.99999783365053
"21","499340433",1.85093938893988,-0.229992997266063,0.0984991508182016,-2.3349744170948,0.0195447572320648,0.99999783365053
"22","499343183",1.92407164732575,0.243535302806272,0.104708735249072,2.32583558789982,0.0200273233230939,0.99999783365053
"23","499352348",59.1315845073409,0.0300589226139554,0.0134474010290868,2.23529606568123,0.0253979181936503,0.99999783365053
"24","499334674",48.7021445435335,-0.107168984094994,0.0480209817590651,-2.23171164289584,0.0256340272451244,0.99999783365053
"25","499324271",41.1712768767615,-0.242020802688919,0.109820428280057,-2.20378673147889,0.0275393461495842,0.99999783365053
"26","499341400",0.598482440812393,-0.310838509379539,0.141082372646769,-2.20324129477034,0.0275777461882308,0.99999783365053
"27","499342466",0.450747041667357,-0.327837368274913,0.149170096671685,-2.19774187715695,0.0279675054832152,0.99999783365053
"28","499308111",1.06842592580044,-0.237852788645041,0.109420338514461,-2.17375299577971,0.0297236902986187,0.99999783365053
"29","499307115",0.456553517235344,-0.323368765745928,0.148890025433644,-2.17186319099693,0.0298659836112198,0.99999783365053
"30","499312200",33.9924139624449,-0.073324526359631,0.0338596986047719,-2.16553984178989,0.0303463676996157,0.99999783365053
"31","499329597",0.533886788962415,0.285748964054636,0.132542614052912,2.15590258345563,0.0310912727099394,0.99999783365053
"32","499342503",1.97411156141847,-0.355343650269842,0.166319564728495,-2.13651142515864,0.0326377507246653,0.99999783365053
"33","499321175",179.669707978059,-0.326039703915945,0.153034815075428,-2.13049366417208,0.0331308783387316,0.99999783365053
"34","499342284",0.285382478162297,-0.356676471215174,0.16774165757995,-2.12634402426345,0.0334746248955552,0.99999783365053
"35","499335450",0.392570033314782,0.332066142647996,0.156282515849386,2.12478114293999,0.0336048790082921,0.99999783365053
"36","499344694",0.962791985128544,-0.24551495348543,0.11555643703536,-2.12463242883045,0.0336172957403493,0.99999783365053
"37","499337232",1.90234693758711,-0.171796632101078,0.0809755621792927,-2.12158616102835,0.0338725055304861,0.99999783365053
"38","499317898",5.79811095509082,-0.142440847482509,0.0672344175331426,-2.11857040945279,0.0341267886679968,0.99999783365053
"39","499315502",9.70239889091839,-0.0883285087758767,0.0417600705322689,-2.11514271048999,0.0344177859603397,0.99999783365053
"40","499322873",16.1421696723088,0.0933816702837422,0.0444211069524919,2.10219142858401,0.0355365103533798,0.99999783365053
"41","499315261",1.21218367181835,-0.258991589959098,0.124044377033465,-2.08789464023208,0.0368073397742208,0.99999783365053
"42","499315935",0.314328988372406,0.312738976607877,0.150882628415479,2.07273017372618,0.0381973980033015,0.99999783365053
"43","499349928",34.4548213402676,0.041477224545122,0.0201055331594766,2.06297561055087,0.0391149454725718,0.99999783365053
"44","499333256",40.2004610562179,-0.0876639766367285,0.0428252501656277,-2.04701610142815,0.0406565036406345,0.99999783365053
"45","499337315",83.1101521598183,-0.13291302772709,0.0649942804673925,-2.04499575610767,0.0408552765045478,0.99999783365053
"46","499347060",4.3516445364504,-0.111380210118477,0.0548398974078788,-2.03100690160072,0.0422542944973881,0.99999783365053
"47","499348960",1.26991905134301,-0.27088528523066,0.134284828128977,-2.01724415933631,0.0436700398075419,0.99999783365053
